Hello World
initializing gdt
initialized gdt
initializing idt
IDT Entry 194, address_low = 0x1F30, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 195, address_low = 0x1F40, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 196, address_low = 0x1F50, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 197, address_low = 0x1F60, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 198, address_low = 0x1F70, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 199, address_low = 0x1F80, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 200, address_low = 0x1F90, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 201, address_low = 0x1FA0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 202, address_low = 0x1FB0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 203, address_low = 0x1FC0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 204, address_low = 0x1FD0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 205, address_low = 0x1FE0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 206, address_low = 0x1FF0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 207, address_low = 0x2000, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 208, address_low = 0x2010, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 209, address_low = 0x2020, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 210, address_low = 0x2030, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 211, address_low = 0x2040, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 212, address_low = 0x2050, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 213, address_low = 0x2060, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 214, address_low = 0x2070, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 215, address_low = 0x2080, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 216, address_low = 0x2090, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 217, address_low = 0x20A0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 218, address_low = 0x20B0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 219, address_low = 0x20C0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 220, address_low = 0x20D0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 221, address_low = 0x20E0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 222, address_low = 0x20F0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 223, address_low = 0x2100, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 224, address_low = 0x2110, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 225, address_low = 0x2120, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 226, address_low = 0x2130, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 227, address_low = 0x2140, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 228, address_low = 0x2150, address_mid = 0x8000, address_high = 0xFFFFFFFF.
